id	x	y	cluster	weight<Links>	weight<Total link strength>
B05L	0.2785	-0.2071	4	16	23
B05M	-0.4522	-0.1453	1	6	7
B05N	0.3106	0.2247	3	8	8
B05O	0.2927	0.0218	4	14	16
B05P	0.3637	0.1779	3	41	68
B05Q	0.3244	0.0722	3	6	8
B05R	-1.2127	-0.261	1	1	2
B06B	-0.129	0.2037	2	611	152742
B06C	0.0565	0.0003	3	46	84
B06D	0.1059	0.013	3	44	71
B06E	0.6292	0.486	5	1	1
B06F	-0.4458	0.6044	2	51	136
B06G	-0.7435	-0.169	1	14	37
B06H	-0.352	-0.5474	1	2	5
B06J	-0.7479	-0.2749	1	21	43
B06K	-0.5338	0.3082	2	43	89
B06L	-0.6649	0.239	1	21	33
B06M	0.0031	-0.4385	3	4	4
B06N	-0.2496	-0.0334	2	20	28
B06P	-0.5023	-0.3023	1	18	27
B06Q	-0.6157	0.2551	2	25	41
B06R	-0.7671	0.078	1	41	93
B06S	-0.7488	-0.087	1	7	11
B06T	-0.8503	-0.0348	1	19	32
B06X	-0.0937	0.3564	2	32	101
B07B	0.455	-0.2285	3	612	315641
B07C	0.0527	0.0518	4	594	194024
B07D	0.6255	-0.0034	3	40	75
B07F	-0.0795	0.0099	4	11	11
B07G	-0.1375	0.631	2	3	3
B07H	1.5184	0.3214	5	3	3
B07J	0.9824	0.1348	5	5	6
B07K	1.2262	-0.0826	5	6	6
B07L	0.3405	-0.2903	3	7	7
B07R	-0.4057	1.0308	2	3	3
B08A	0.2638	-0.3791	4	1	1
B08B	0.022	-0.1508	3	722	1368356
B08C	-0.2378	0.5718	2	6	7
B08D	0.2794	-0.0315	3	28	50
B08F	0.3896	0.1201	3	12	14
B08G	0.0797	0.0909	3	17	19
B08J	0.4331	-0.0265	3	14	24
