id,x,y,cluster,weight<Links>,weight<Total link strength>,label,score<AI2015>,Weight<AICount2015>,score<AI2016>,Weight<AICount2016>,score<AI2017>,Weight<AICount2017>,score<AI2018>,Weight<AICount2018>,score<AI2019>,Weight<AICount2019>,score<AI2020>,Weight<AICount2020>,score<AI2021>,Weight<AICount2021>,score<AI2022>,Weight<AICount2022>,score<AI2023>,Weight<AICount2023>,score<AI2024>,Weight<AICount2024>
A45D,0.1505,-0.4225,2,557,266388,HAIRDRESSING OR SHAVING EQUIPMENT   (wigs. toupees or the like A41G0003000000. A41G0005000000;  hairdressers' chairs A47C0001040000;  hair cutting appliances. razors B26B); EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS. e.g. FOR MANICURING OR PEDICURING,38,38,11,11,79,79,72,72,98,98,71,71,67,67,33,33,36,36,12,12
A45F,-0.4071,-0.3593,6,465,107457,TRAVELLING OR CAMP EQUIPMENT; SACKS OR PACKS CARRIED ON THE BODY,2,2,6,6,16,16,11,11,11,11,12,12,17,17,16,16,10,10,3,3
A46B,0.2074,-0.4441,2,527,145992,BRUSHES (handles not integral with brushware B25G),14,14,10,10,28,28,29,29,44,44,37,37,33,33,25,25,32,32,10,10
A46D,0.3501,-0.6205,2,367,35216,MANUFACTURE OF BRUSHES,2,2,2,2,2,2,5,5,1,1,1,1,7,7,0,0,3,3,2,2
A47B,-0.3419,-0.1586,6,609,534219,TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE (jointing of furniture F16B0012000000),30,30,58,58,73,73,149,149,174,174,251,251,296,296,185,185,134,134,38,38
A47C,-0.3323,-0.2364,6,578,371260,CHAIRS; SOFAS; BEDS,15,15,15,15,42,42,59,59,48,48,63,63,51,51,42,42,27,27,19,19
A47D,-0.5589,-0.2694,6,379,46809,FURNITURE SPECIALLY ADAPTED FOR CHILDREN (school benches or desks A47B0039000000. A47B0041000000),1,1,2,2,9,9,10,10,8,8,19,19,9,9,12,12,8,8,1,1
A47F,-0.337,-0.1816,6,551,227892,SPECIAL FURNITURE. FITTINGS. OR ACCESSORIES FOR SHOPS. STOREHOUSES. BARS. RESTAURANTS. OR THE LIKE; PAYING COUNTERS,18,18,25,25,37,37,83,83,87,87,101,101,91,91,73,73,41,41,7,7
A47G,-0.0638,-0.3162,6,610,489965,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000;knives B26B),29,29,49,49,85,85,158,158,131,131,132,132,146,146,83,83,64,64,11,11
A47H,-0.2769,-0.2827,6,431,41507,FURNISHINGS FOR WINDOWS OR DOORS (concerned with the functioning of the door or window E05;roller blinds E06B;special arrangements or measures in connection with doors or windows. e.g. for ventilation or sealing. E06B0007000000),3,3,7,7,5,5,4,4,5,5,10,10,17,17,6,6,16,16,4,4
