id	x	y	cluster	weight<Links>	weight<Total link strength>
C06B	0.1029	0.5009	8	453	62783
C06C	-0.2534	0.6584	8	324	22069
C06D	0.0462	0.595	8	321	32081
C06F	0.193	-0.1086	2	223	2239
C07B	1.0791	-0.0237	3	481	1048536
C07C	0.8793	-0.0292	3	624	3887137
C07D	0.9163	-0.1876	3	613	5578521
C07F	0.9062	-0.1652	3	540	1338011
C07G	1.4273	-0.2562	3	351	153963
C07H	1.2812	-0.2303	3	488	1440119
C07J	1.382	-0.2598	3	403	223461
C07K	1.149	-0.2219	3	531	4245306
C08B	1.1562	-0.2759	3	497	418815
C08C	0.7462	-0.3794	2	397	106386
C08F	0.533	-0.2627	2	609	2285553
C08G	0.5129	-0.2697	2	616	2728019
C08H	1.15	-0.3307	3	361	82934
C08J	0.4315	-0.2643	2	625	3015318
C08K	0.428	-0.2357	2	631	3301290
C08L	0.4623	-0.2507	2	636	4915342
C09B	0.673	-0.4767	2	550	533289
C09C	0.6962	-0.1688	2	482	333831
C09D	0.3977	-0.2888	2	628	2266499
C09F	1.0352	-0.301	3	298	20515
C09G	0.5544	-0.208	5	324	80148
C09H	1.1614	-0.4215	3	194	10240
C09J	0.3439	-0.364	2	609	1093050
C09K	0.4819	-0.063	3	624	2342717
C10B	0.9259	0.511	3	502	144695
C10C	0.9738	0.1666	3	348	39579
C10F	0.9967	0.3809	3	186	5419
C10G	0.9308	0.317	3	539	484088
C10H	0.784	0.3213	3	177	1832
C10J	0.9412	0.6463	3	406	116362
C10K	1.0238	0.5381	3	325	77766
C10L	0.8884	0.2976	3	527	339775
C10M	0.8093	0.0822	3	543	431853
C10N	0.8625	0.0902	3	457	271997
C11B	1.3098	-0.1607	3	462	299904
C11C	1.4085	-0.1076	3	384	105208
C11D	0.8909	-0.2494	3	564	696896
C12C	1.5094	-0.116	3	354	54238
C12F	1.5254	-0.025	3	184	10078
C12G	1.479	-0.1334	3	370	116866
C12H	1.4656	-0.0938	3	343	59755
C12J	1.6523	-0.1903	3	152	13048
C12L	1.1235	-0.0601	3	136	2598
C12M	0.8757	-0.0797	3	541	604452
C12N	1.1232	-0.1813	3	583	5498886
C12P	1.282	-0.1883	3	521	2537341
C12Q	0.9068	-0.2197	3	521	2281910
C12R	1.3586	-0.1867	3	436	1557377
C13B	1.3556	-0.0277	3	338	34479
C13K	1.5327	-0.1657	3	246	50797
C14B	0.4255	-0.7126	2	379	20407
C14C	0.7838	-0.5737	2	376	50455
C21B	0.7261	0.622	7	455	161870
C21C	0.603	0.5672	7	487	206800
C21D	0.2456	0.2953	5	572	641518
C22B	0.7195	0.3918	3	547	429672
C22C	0.2141	0.2436	5	612	1253798
C22F	0.251	0.3063	5	470	281908
C23C	0.1399	0.0535	5	626	1647438
C23D	0.4219	0.0664	5	331	24370
C23F	0.3244	0.043	5	577	374992
C23G	0.5237	0.0713	5	515	169848
C25B	0.6379	0.2429	3	544	270711
C25C	0.6722	0.3225	3	448	95426
C25D	0.2485	0.0059	5	587	396231
C25F	0.3366	0.0379	5	423	65282
C30B	0.1595	-0.0054	1	511	338294
C40B	1.0259	-0.2027	3	327	214762
C99Z	1.3115	-0.276	3	63	387
D01B	0.8254	-0.6316	2	337	15225
D01C	0.9584	-0.6735	2	291	12794
D01D	0.563	-0.6664	2	531	282994
D01F	0.5614	-0.5698	2	557	587024
D01G	0.5349	-0.703	2	443	54878
D01H	0.3228	-0.7765	2	483	88706
D02G	0.4336	-0.7737	2	527	229411
D02H	0.3079	-1.0295	2	203	11906
D02J	0.5397	-0.8686	2	441	87223
D03C	0.1649	-0.9266	2	293	16383
D03D	0.2764	-0.7752	2	569	305914
D03J	0.3254	-1.008	2	308	25770
D04B	0.2537	-0.817	2	514	151764
D04C	0.2772	-0.7107	2	405	27659
D04D	0.2025	-0.8904	2	305	17115
D04G	0.309	-0.8211	2	238	7363
D04H	0.4211	-0.5754	2	570	499118
D05B	0.0712	-0.7609	2	489	66690
D05C	0.1965	-0.8932	2	366	38731
D06B	0.5097	-0.7552	2	508	173641
D06C	0.4378	-0.7932	2	480	152394
D06F	0.1361	-0.1042	6	580	219218
D06G	0.4577	-0.8494	2	274	25761
D06H	0.2688	-0.7589	2	444	88408
D06J	0.3269	-0.9191	2	162	5627
D06L	0.9778	-0.5137	3	402	126998
D06M	0.5817	-0.5572	2	585	705234
D06N	0.3814	-0.5882	2	503	222657
D06P	0.7048	-0.6484	2	488	294795
D06Q	0.3639	-0.8451	2	329	36112
D07B	0.0871	-0.3819	2	478	70003
D21B	1.0741	-0.2855	3	374	65328
D21C	1.0858	-0.216	3	453	151208
D21D	1.0474	-0.1953	3	358	59138
D21F	0.6359	-0.4093	2	513	167891
D21G	0.5165	-0.4096	2	363	65150
D21H	0.6329	-0.4164	2	557	560788
D21J	0.6857	-0.4534	2	378	35196
D99Z	0.3901	-0.4789	2	20	26
E01B	-0.542	0.4476	4	491	94307
E01C	-0.037	0.1856	6	557	302246
E01D	-0.2385	0.3059	6	447	154869
E01F	-0.3738	0.1342	6	519	244914
E01H	-0.0468	0.3313	6	493	101237
E02B	-0.1279	0.4592	6	563	309809
E02C	-0.4563	0.6712	6	181	3021
E02D	-0.1124	0.3422	6	578	525454
E02F	-0.2783	0.4784	4	539	317513
E03B	0.0598	0.415	6	528	209974
E03C	0.1353	0.3401	6	487	184440
E03D	0.0728	0.2507	6	453	106614
E03F	0.0704	0.4137	6	486	233754
E04B	-0.0991	0.0892	6	619	1183831
E04C	0.0012	0.0175	6	588	592815
E04D	-0.0411	0.1495	6	539	290370
E04F	-0.001	-0.0255	6	588	625210
E04G	-0.1454	0.1955	6	575	488835
E04H	-0.2766	0.1335	6	612	732203
E05B	-0.7164	0.0672	6	574	439748
E05C	-0.7152	0.116	6	515	204768
E05D	-0.5872	0.1153	6	530	253710
E05F	-0.626	0.1675	6	536	336994
E05G	-0.8674	-0.1352	6	344	34437
E06B	-0.3663	0.0121	6	604	623815
