id,x,y,cluster,weight<Links>,weight<Total link strength>,label
A63D,-0.8399,-0.4318,6,329,11563,BOWLING GAMES. e.g. SKITTLES. BOCCE OR BOWLS; INSTALLATIONS THEREFOR; BAGATELLE OR SIMILAR GAMES; BILLIARDS (balls A63B0037000000)
A63F,-0.9013,-0.3018,1,538,338977,CARD. BOARD OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR
A63G,-0.8474,-0.0023,6,408,39803,MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES (swings or rocking horses as nursery furniture A47D0013100000); CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT
A63H,-0.7008,-0.2128,6,586,158636,TOYS. e.g. TOPS. DOLLS. HOOPS OR BUILDING BLOCKS
A63J,-0.8053,-0.1334,6,381,24544,DEVICES FOR THEATRES. CIRCUSES. OR THE LIKE; CONJURING APPLIANCES OR THE LIKE
A63K,-0.6664,-0.2286,6,229,4667,RACING; RIDING SPORTS; EQUIPMENT OR ACCESSORIES THEREFOR (stop watches G04F0007060000;timing G07C0001220000;indicating arrangements for variable information by selection or combination of individual elements G09F0009000000)
A99Z,-0.3119,-0.1702,1,69,134,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
B01B,0.8056,0.4549,3,355,13851,BOILING; BOILING APPARATUS
B01D,0.5573,0.2351,3,643,3559564,SEPARATION (separating solids from solids by wet methods B03B. B03D. by pneumatic jigs or tables B03B. by other dry methods B07;magnetic or electrostatic separation of solid materials from solid materials or fluids. separation by high-voltage electric fields B03C;centrifuges B04B; vortex apparatus B04C;presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)
B01F,0.6326,0.1105,3,605,902639,MIXING. e.g. DISSOLVING. EMULSIFYING OR DISPERSING  (mixing paints B44D0003060000)
B01J,0.7025,0.1603,3,631,3645830,CHEMICAL OR PHYSICAL PROCESSES. e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS
B01L,0.4331,-0.0046,3,547,436542,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE
B02B,1.0081,0.0637,3,386,28814,PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE (making dough from cereals directly A21C;preservation or sterilisation of cereals A23B;cleaning fruit A23N;preparation of malt C12C)
B02C,0.6742,0.0868,3,589,487935,CRUSHING. PULVERISING. OR DISINTEGRATING IN GENERAL; MILLING GRAIN (obtaining metallic powder by crushing. grinding or milling B22F0009040000)
B03B,0.9144,0.1922,3,486,123255,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS
B03C,0.618,0.2347,3,574,206594,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS (separating isotopes B01D0059000000;combinations of magnetic or electrostatic separation with separation of solids by other means B03B. B07B)
B03D,1.0452,0.2089,3,386,54178,FLOTATION; DIFFERENTIAL SEDIMENTATION (in combination with other separation of solids B03B;sink-float separation B03B0005280000)
B04B,0.6153,0.1875,3,519,87917,CENTRIFUGES (high-speed drum mills B02C0019110000)
